"filename","function","line_no","CEC"
"git/ash/lib/ash/query/query.ex","do_load",2467,2
"git/ash/lib/ash/query/query.ex","validate_calculation_arguments",2627,2
"git/ash/lib/ash/query/query.ex","set_argument",2936,5
"git/ash/lib/ash/query/query.ex","apply_to",4369,1
"git/ash/lib/ash/query/query.ex","data_layer_query",4498,1
"git/ash/lib/ash/query/query.ex","add_tenant",4649,2
"git/firezone/elixir/lib/portal_api/controllers/external_identity_controller.ex","index",27,1
"git/firezone/elixir/lib/portal_api/controllers/external_identity_controller.ex","show",59,1
"git/firezone/elixir/lib/portal_api/controllers/external_identity_controller.ex","delete",90,1
"git/firezone/elixir/lib/portal/types/ip.ex","cast",24,1
"git/electric/packages/sync-service/lib/electric/shapes/consumer.ex","all_materializers_alive?",1064,1
"git/firezone/elixir/lib/portal_api/controllers/okta_directory_controller.ex","show",40,1
"git/phoenix_live_view/lib/phoenix_live_view/tag_engine/tokenizer.ex","strip_text_token_fully",758,1
"git/ash/lib/ash/data_layer/ets/ets.ex","run_query",410,2
"git/ash/lib/ash/data_layer/ets/ets.ex","do_add_aggregates",790,1
"git/ash/lib/ash/data_layer/ets/ets.ex","do_upsert",1497,2
"git/ash/lib/ash/data_layer/ets/ets.ex","bulk_create",1648,1
"git/ash/lib/ash/data_layer/ets/ets.ex","create",1691,1
"git/ash/lib/ash/data_layer/ets/ets.ex","do_destroy",1901,2
"git/ash/lib/ash/data_layer/ets/ets.ex","update",1993,1
"git/ash/lib/ash/data_layer/ets/ets.ex","do_update",2072,2
"git/ash/lib/ash/actions/update/bulk.ex","do_atomic_update",746,3
"git/ash/lib/ash/actions/update/bulk.ex","do_atomic_update",784,1
"git/firezone/elixir/lib/portal_web/live/settings/account.ex","handle_event",384,1
"git/ash/lib/ash/domain/igniter.ex","add_resource_reference",69,1
"git/ash/lib/ash/domain/igniter.ex","add_new_code_interface",107,1
"git/ash/lib/ash/domain/igniter.ex","remove_resource_reference",170,1
"git/analytics/lib/plausible/teams/invitations.ex","do_accept",358,1
"git/analytics/lib/plausible/teams/invitations.ex","create_invitation",660,1
"git/firezone/elixir/lib/portal_web/live/find_account.ex","email_allowed?",41,1
"git/symphony/elixir/lib/symphony_elixir/linear/client.ex","graphql",169,2
"git/ecto/lib/ecto/query/planner.ex","cast_param",1147,1
"git/ecto/lib/ecto/query/planner.ex","prewalk",1686,1
"git/firezone/elixir/lib/portal/config.ex","config_changeset",68,2
"git/absinthe/lib/absinthe/subscription.ex","extract_pubsub",247,1
"git/supavisor/lib/cluster/strategy/postgres.ex","handle_continue",56,1
"git/electric/examples/gatekeeper-auth/api/lib/api/token.ex","validate",30,1
"git/electric/examples/gatekeeper-auth/api/lib/api/token.ex","matches",39,1
"git/anoma/lib/node/transport/network_register/proxy/node.ex","handle_call",152,2
"git/ash/lib/ash/expr/expr.ex","extract_aggregate_field_info",1750,1
"git/ash/lib/ash/expr/expr.ex","determine_get_path_type",1777,1
"git/analytics/extra/lib/plausible/installation_support/checks/url.ex","perform",17,2
"git/realtime/lib/realtime/database.ex","check_tenant_connection",103,1
"git/firezone/elixir/lib/portal_api/controllers/entra_directory_controller.ex","show",41,1
"git/ash/lib/mix/tasks/gen/ash.gen.resource.ex","find_existing_defaults_call",561,1
"git/ash/lib/mix/tasks/gen/ash.gen.resource.ex","find_existing_timestamps_call",584,1
"git/ash/lib/mix/tasks/gen/ash.gen.resource.ex","remove_existing_defaults",626,1
"git/ash/lib/mix/tasks/gen/ash.gen.resource.ex","remove_existing_timestamps",642,1
"git/ash/lib/mix/tasks/gen/ash.gen.resource.ex","remove_existing_attribute",677,1
"git/ash/lib/mix/tasks/gen/ash.gen.resource.ex","remove_existing_relationship",743,1
"git/analytics/lib/plausible_web/plugs/authorize_public_api.ex","call",54,1
"git/realtime/test/support/containers.ex","checkout",114,1
"git/realtime/test/support/containers.ex","do_checkout_tenant",142,1
"git/analytics/lib/plausible/google/api.ex","fetch_stats",62,3
"git/analytics/lib/plausible/google/api.ex","maybe_refresh_token",86,2
"git/analytics/lib/plausible/google/api.ex","maybe_refresh_token",102,2
"git/supavisor/lib/supavisor/client_handler/proxy/watchdog.ex","check_children",75,1
"git/ash/lib/ash/generator/generator.ex","attribute_generator",1120,1
"git/firezone/elixir/lib/portal_api/controllers/integrations/azure_communication_services/webhook_controller.ex","handle_webhook",8,4
"git/firezone/elixir/lib/portal_api/controllers/integrations/azure_communication_services/webhook_controller.ex","verify_secret",64,2
"git/electric/examples/burn/lib/burn/agents/agent.ex","contains_fact_extraction_since",188,1
"git/phoenix_live_view/lib/phoenix_live_view/tag_engine/compiler.ex","handle_tag_attrs",559,1
"git/pinchflat/lib/pinchflat/yt_dlp/media_collection.ex","get_source_details",87,2
"git/pinchflat/lib/pinchflat/yt_dlp/media_collection.ex","get_source_metadata",127,1
"git/ash/lib/mix/tasks/ash.extend.ex","remove_domain_option",251,1
"git/absinthe/lib/absinthe/resolution/helpers.ex","use_parent",346,1
"git/realtime/lib/realtime/tenants/connect.ex","handle_continue",302,1
"git/realtime/lib/realtime/tenants/connect.ex","handle_info",434,3
"git/realtime/lib/realtime/tenants/connect.ex","start_replication_connection",523,3
"git/firezone/elixir/lib/portal_api/controllers/oidc_auth_provider_controller.ex","show",41,1
"git/ash/lib/ash/actions/read/relationships.ex","attach_lateral_join_related_records",1675,1
"git/ash/lib/ash/resource/change/cascade_update.ex","change",97,1
"git/ash/lib/ash/resource/change/cascade_update.ex","after_batch",127,1
"git/ash/lib/ash/resource/change/cascade_update.ex","update_related",212,1
"git/electric/packages/elixir-client/lib/electric/client/ecto_adapter.ex","cast_to",236,1
"git/ash/lib/ash/resource.ex","primary_key_matches?",358,1
"git/ash/lib/ash/resource.ex","handle_before_compile",358,1
